S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
516,Deal curry,Satvika Bio-Foods India Private Limited,2010,"Satvika Bio-Foods India Pvt Ltd. owns and operates an online portal that sells organic food and grocery products in India. The company offers apple cider vinegar, quinoa, chia seeds, goji berries, and cacao nibs, seeds, nuts, and dry fruits, flakes and flours, cold pressed oils, rice and millets, pasta, spreads, spices, and sweeteners, ayurvedic products, such as ashwagandha, triphala, neem, and tulsi powders, essential oils, which include pumpkin seed, eucalyptus, neem, and citronella oils, and gluten free flours, flakes, and millets. It also retails grains, pulses, and breakfast cereals, and gift products, including gourmet, personal care, aromatherapy, and other product",Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Online store for organic  doood [robl,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,2, Vinod Kumar,Priya Prakash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Deal curry,SavvyMob Travel Solutions Pvt Ltd,2014,ST Visionary LLP,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Hotel booking,,,Bengaluru,Karnataka,Angel investment,Booking,,,,,,2,Bikram S Sohal,Gappan Annamalai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Deal curry,SBB Venture Private Limited,2013,SBB Venture Pvt. Ltd. develops and operates a crowd sourced movie review and online entertainment analytics platform.,Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Mvie review and entertainment,,,Mumbai,Maharashtra,Angel investment,Media and entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Deal curry,Schoolkart Technologies ,2015,Stellar Software Technologies ,Consumer_goods,personal and household goods,Edu_Tech,,B2C," Retail- uniforms, books, and sporting and stationery products",,,Delhi,,Angel investment,Educational products and Services,,,,,,1,Deepika Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Deal curry,ServX,2015,ServX operates a website that connects automobile owners to authorized maintenance providers,Technology,Software & Computer Services,Social_Platforms,,B2B2C,Connects automobile owners and authoried maintainence providers,,,Delhi,,Angel investment,Connect to Professionals,,,,,,1,Anubhav Deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Deal curry,Shippr Technologies ,,"Shippr Technologies PRIVATE LIMITED provides transportation and logistics services in Bengaluru. The company collects, transports, and delivers goods. It enables customers to book vehicles by call or online. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Delivery of goods,,,Bengaluru,Karnataka,Angel investment,Delivery services and logistics,,,,,,2,Rohit Fernandes,Phaneendra Hedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Deal curry,Shirsa Labs Private Limited,2013,"Shirsa Labs Private Limited owns and operates an online engagement platform that provides exercises in the areas of agility, memory, focus, problem solving, and critical thinking by entertaining and educating children in the 6-13 age groups. It offers online and offline interactive methods that enable to have a direct impact on children's learning abilities in classroom, as well as day-to-day activities.",Technology,Software & Computer Services,Edu_Tech,,B2C,Online platform for edcating children ,,,Mumbai,Maharashtra,Angel investment,Online courses and resources,,,,,,1,Sukhada Tendulkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Deal curry,Shopsense Retail Technologies Private Limited,2012,"Shopsense Retail Technologies Private Limited develops and operates Fynd, a mobile shopping application. The company, through its application, sells lifestyle products from branded stores. It allows customer to browse, discover, and select products. The company also provides delivery services. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online store for branded products,,,Mumbai,Maharashtra,Angel investment,Buy and Sale goods and products,,,,,,3,Farooq Adam,Harsh Shah,M G Sreeraman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Deal curry,Siftr Labs ,2015,"SIFTR platform aims to provides photo curation services. Our first offering is for photographers and consumers who click a lot of photos, post them on social or backup platforms, but then have a hard time in finding the relevant photos, when required.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Artificial intelligence - photographic,,,Noida,Uttar Pradesh,Angel investment,Internet and software development,,,,,,2,Mayank Bhagya,Romil Mittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Deal curry,Simplify Wellness India ,2014,"Simplify Wellness Inc., a healthcare technology company, provides DoctorC, a platform that enables consumers to compare prices and quality across various diagnostic centers and labs in India. It serves urban and middle to upper middle class consumers. ",Healthcare,Healthcare,Health_Tech,,B2C,Enables to find diagnostic center,,,Hyderabad,Andhra Pradesh,Angel investment,Telemedicine and Online health care platforms,,,,,,5,Neehar Cherabuddi,Mansi Gandhi,Karan Kurani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Deal curry,Skillboost Services Private Limited,2012,SOCOMO Technologies Pvt Ltd develops and operates an online platform which allows investors to trade Bitcoin like on a stock exchange. ,Financials,Real estate,Fin_Tech_and_Payments,,B2C,Online platform to help investors,,,chandigarh,uttar Pradesh,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,2,Samar Singla, Chinmay Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Deal curry,Slyds Services ,2014,"SlydS Services Pvt. Ltd. plans, writes, and designs PowerPoint presentations for other companies and startups enabling them communicate through the slides. It develops and prepares new presentations by creating a story and developing it from scratch, revises or restyles existing presentations, and teaches corporate teams how to use creative design techniques to transform their presentations, as well as conducts college trainings, public seminars, and events to help students and clients develop PowerPoint skills.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Designs powerpoint presentation for business ,,,Bengaluru,Karnataka,Angel investment,Business Support Services,,,,,,3,Pankaj Singh ,Deepak Kumar ,Roshan Rajesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Deal curry,Smartpaddle Technology ,2015,"Smartpaddle Technology Pvt. Ltd. operates a business-to-business marketplace that caters to massive chemicals, plastics, and packaging industry segments in India. The company’s platform helps businesses to browse and reach products in the categories of chemicals, plastics, material handling equipment, packaging goods, paints and pigments, and polymers. Its platform includes live chat and a quotation generator tool that promotes the interaction between a buyer and a supplier.",Basic_Materials,Chemicals,Industrial_and_Business_Products_and_Services,,B2B,Supplier of chemicals ,,,Mumbai,Maharashtra,Angel investment,Building Materials & Fixtures,,,,,,3,Sachin Agrawal, Ankit Tomar,Aniket Deb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Deal curry,Social Audience Private Limited,2012,"Social Audience Pvt Ltd. develops an intelligent decision support system for businesses. It offers Tookitaki DSS, a software distribution platform that provides production-ready automated and scalable predictive modeling environment to organizations. ",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Decision support system for business,,,Kolkata,West Bengal,Angel investment,Business Support Services,,,,,,1,Abhishek Chatterjee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Deal curry,Springboard Academy Private Limited,2006,"Springboard Technologies Pvt., Ltd. engages in product and payment systems integrations for the European online gaming industry. It offers gaming platforms integrators, payment systems integrations, game engines, back office suit, and games development solutions. ",Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Developers of games,,,Hyderabad,Andhra Pradesh,Angel investment,Games and Gaming enablers,,,,,,1,Rajesh Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Deal curry,ST Visionary LLP,2015,"ST Visionary LLP operates an online platform that provides fashion boutiques discovery, reviews, ratings, and commerce portal. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Fashion app,,,Kolkata,West Bengal,Angel investment,Fashion,,,,,,2, Kumar,Tanushree Khandelwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Deal curry,Starting Blocks Media Ventures Private Limited,2012,"Starting Blocks Media Ventures Pvt. Ltd. Provides Catapooolt, a crowd funding platform for music, movies, and performing arts. It also supports crowdsourcing of talent and resources, as well as hybrid funding for books, start-up, creative, social, sports, and other projects in India and internationally. ",Financials,Financial services,Fin_Tech_and_Payments,,B2B,Crowdfunding ,,,Mumbai,Maharashtra,Angel investment,Crowdfunding,,,,,,1, Satish Kataria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Deal curry,Stellar Software Technologies ,2015,Stellar Software Technologies Pvt. Ltd. operates an online platform to build a developer portfolio for job applications. ,Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2C,Emplyoment agency,,,Hyderabad,Andhra Pradesh,Angel investment,Business Training & Employment Agencies,,,,,,1,Hari Krishna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Deal curry,Supath Healthcare Services ,2015,"Supath Healthcare Services Private Limited owns and operates an online portal for individuals to choose diagnostic labs in their neighborhood. Its LabsAdvisor portal enables patients with pathology or radiology needs to book for related diagnostic tests and health packages through a network of diagnostic centers. The company also offers data repository services to hold customer data and test records. In addition, it provides its service through phone and mobile applications. ",Healthcare,Healthcare,Health_Tech,,B2C,Enables to find diagnostic center,,,Delhi,,Angel investment,Telemedicine and Online health care platforms,,,,,,2,Ashish Bhatia,Rahul Shukla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Deal curry,Suphalaam Technologies Private Limited,2010,"Suphalaam Technologies Private Limited provides e-Learning educational solutions and study materials for pre colleges, colleges, and schools in India. It provides practice tests/exams video classes, text books, free/popular books, and scanners for CA/CS/CMA/CFA/CISA/banking/finance, IITJEE and other engineering, AIPMT and other medical, CLAT and other law, GATE, IAS and other government, bank PO and other banking, CAT/CMAT/other MBA, and CBSE and other school exams. The company also provides IT and technical courses for professionals.",Technology,Software & Computer Services,Edu_Tech,,B2C,E-learning material for professionl courses,,,Bengaluru,Karnataka,Angel investment,Online courses and resources,,,,,,1,Arun Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Deal curry,Supply Chain Analytics and Technologies ,2014,"Supply Chain Analytics and Technologies Private Limited engages in online retail of fruits, vegetables, and groceries. The company, through its application, delivers fruits, vegetables, dairy, bakery products, pulses, and organic food to customers in and around the National Capital Region.",Consumer_goods,Food and beverage,Internet_marketplace_and_eCommerce,Consumer_Products_and_Services,B2C,Online retail shop -food products,,,Delhi,,Angel investment,Agricultural Products,Cakes and Florist,Food Products,,,,1,Nitin Sawhney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Deal curry,Tastebox Hospitality Private Limited,2012,"Tastebox Hospitality Private Limited operates GourmetItUp.com, an online restaurant reservation portal. It allows users to access food and fine dining related experiences for corporate outings and client entertainment.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online portal,Booking - hotels,,Mumbai,Maharashtra,Angel investment,Booking,,,,,,2,Deepa Jain,Kunal Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Deal curry,TaxiVaxi,2014,"TaxiVaxi is first platform for booking Tour Taxis, Self Drive cars, Radio Taxis and Carpooling on one single application. It aims at providing a hassle-free and smooth booking experience for all your road travels. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Taxi services,,,Delhi,,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,1,Neeraj Tayal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Deal curry,Techclove Technologies Private Limited,2012,"TechClove Software Products LLP provides technology products for consumers and businesses. Its products include flatpebble.com, an online marketplace that enables artists to showcase and sell their original artwork and prints to global audience, and iwantimages.com, a photo marketplace that helps creative people to buy and sell images. The company also provides business consulting services, ERP consulting services, such as implementing ERP systems across SAP and MS Dynamics platforms, ",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,Mobile app for sell and purchase of Art works,Consultings Servicess to business,,Hyderabad,Andhra Pradesh,Angel investment,Software services for consumers,,,,,,1, Raghu Bathina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Deal curry,Techlites Solution Private Limited,2012,"Techlites Solutions Private Limited provides a platform that connects customers and businesses on mobile with real time chat. Its platform allows business owners, service providers, and individual professionals to list their business profiles, such as professional, retail, Restro, home needs, local needs, health, and other utilities, enables to upload pictures, videos, and description of services, and allows to enquire about services, product, or support related to the business. ",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,Connects business and customer,Mobile app for booking services,,Delhi,,Angel investment,Software services for consumers,,,,,,1,Bhartesh Chhibbar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Deal curry,Techreco Solutions ,2015,"TECHRECO Solutions Private Limited provides a mobile application for food vendors and outlets. Its application allows food vendors to gather insight about their consumers, get instant feedback, and communicate with their customers via SMS and Email services.",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Mobile app- food vendor,,,Ahmedabad,Gujarat,Angel investment,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Deal curry,Teilen Infoservices Private Limited,2015,"Teilen Infoservices Private Limited develops a mobile application for ride sharing in Mumbai. It offers LiftO, a ride sharing platform that lets users offer or request shared rides",Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Mobile app for ride sharing,,,Mumbai,Maharashtra,Angel investment,Software services for consumers,,,,,,2,Nikhil Agrawal,Vikesh Agrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Deal curry,TestBook Edu Solutions Private Limited,2013,Testbook Edu Solutions Private Limited provides online exam preparation services. The company was formerly known as Share Infotech Private Limited. ,Technology,Software & Computer Services,Edu_Tech,,B2C,Online entrance exam training,,,Mumbai,Maharashtra,Angel investment,Online courses and resources,Training for entrance exams,,,,,4,Ashutosh Kumar,Abishek Sagar,Manoj Munna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Deal curry,The Better India Private Limited,2008,"The Better India Pvt Ltd. operates a news platform online. The company engages in publishing and sharing news and stories about unsung heroes, change makers, innovations, education, children, women empowerment, travel, history, arts and culture, and social development. It also provides e-mail newsletter for corporates, and a weekly digest of articles that cover inspirational feats, innovative thinking, motivational heroes, lesser known travel places, the do-good spirit, and more. ",Technology,Software & Computer Services,Social_Platforms,,B2C,NEWS platform online,"Shares information of varries areas like travel, education etc",,Bengaluru,Karnataka,Angel investment,Website for information,,,,,,2,Dhimant Parekh,Anuradha Kedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Deal curry,The Home Salon,2016,"The Home Salon provides beauty services at home in India. The company offers facials, facial masks, skin bleach and threading, facial treatments, clean-ups, hair spa, roots touchup, mehendi, hair styling, make-up, saree draping, waxing, bleach and polishing, threading, manicure, pedicure, and nail cut services. It also provides massages, bridal packages, and spa treatments. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Spa/salons,,,Mumbai,Maharashtra,Angel investment,Specialized Consumer Services,,,,,,2,Rishika Chandan,Nihar Thanawala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Deal curry,Thinkbits Internet Technologies Private Limited,2013,"Thinkbits Internet Technologies Private Limited owns and operates social commerce portal VioletStreet.com that allows its users to engage with their friends, as well as the fashion community before making a purchase. It also allows its users to mix and match, and create custom looks by putting together fashion products from various sites. ",Technology,Software & Computer Services,Social_Platforms,,B2C,Connects fashion community,,,Hyderabad,Andhra Pradesh,Angel investment,Connect to Professionals,,,,,,1,Ankur Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Deal curry,Thinkbits Internet Technologies Private Limited,2013,"Thinkbits Internet Technologies Private Limited owns and operates social commerce portal VioletStreet.com that allows its users to engage with their friends, as well as the fashion community before making a purchase. It also allows its users to mix and match, and create custom looks by putting together fashion products from various sites",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Social commerce platform,Fashion app - products,,Hyderabad,Andhra Pradesh,Angel investment,Fashion,,,,,,1,Ankur Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Deal curry,ThinkVidya Learning Private Limited,2010,"ThinkVidya Learning Private Limited operates an online marketplace for hiring service professionals in India. Its platform allows consumers find middle school, high school, college, and post-graduation tutors, dance, music, cooking, and art class professionals, personal trainers, dietitians and nutritionists, physiotherapists, and psychiatrists, magicians, DJs, caterers, and party planners, kids, fashion, commercial, and wedding photographers, and other professionals. ",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Marketplace for hiring profrssional services,,,Bengaluru,Karnataka,Angel investment,Professional Services,,,,,,1,Rakesh Kalra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Deal curry,Threadsol Software Private Limited,2012,"Threadsol Software Pvt. Ltd. offers a material planning and optimization software for sewn products industry. The company owns and operates intelloCut, a cloud-based material planning and optimization solution that measures, predicts, and optimizes material utilization and productivity for the sewn products industry, including apparel, footwear, automotive, home furnishing, technical textiles, etc",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Cloud infrastructure,,,Bengaluru,Karnataka,Angel investment,Cloud Infrastructure,,,,,,4,Bratish Goswami ,Mansij Ganguli ,Mausmi Ambsatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Deal curry,Timesaverz Dotcom Private Limited,2012,"Timesaverz Dotcom Private Limited provides an online solution for busy individuals to get help for at-home services by agents in Mumbai. The company’s solution allows services providers to create profile, check the fee structure, check for jobs, deliver service, and rate their services seekers. Its service enables services seekers to book agents for various services",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Connects customers and service provder ,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,2,Debadutta Upadhayaya,Lovnish Bhatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Deal curry,Town Essentials Private Limited,2001,"Town Essentials Private Limited, doing business as Towness.com, operates as a vegetarian local e-grocer that specializes in fresh fruits, vegetables, regional ingredients, and artisanal goods. The company offers health foods, town goodies, town Sankranti specials, and dry fruits, staples and groceries, fruits, vegetables, sprouts, and fresh cut vegetables, beverages, ready to cook and ready to eat products, milk curds cheese dairy and other non-dairy substitutes, organic products, regional and international foods, emergency home and personal care products, food additives, flavors, fresheners, and colors, rare ingredients, and wholesale marriages events.",Consumer_goods,automobile and parts,Consumer_Products_and_Services,Internet_marketplace_and_eCommerce,B2C,E-marketplace for food proucts,,,Bengaluru,Karnataka,Angel investment,Food Products,,Agricultural Products,,,,2,Amar K Murthy,Shrikant Patil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Deal curry,Transcell Biologics Private Limited,2009,"Transcell Biologics Pvt. Ltd., a biotech company, engages in the discovery and development of stem cell based solutions to treat chronic and debilitating diseases. The company creates stem cell repository, develops cell based platforms for therapeutic and non-therapeutic applications, facilitates advanced regenerative medicine tools to treat debilitating diseases, and delivers patient-based screening methods to discover druggable molecules. ",Healthcare,Healthcare,Health_Tech,,B2C,Biotech -  discovery for treatment of chronic disease,,,Hyderabad,Andhra Pradesh,Angel investment,Biotechnology and Bio engineering,,,,,,1,SubadraDavida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Deal curry,Trident Analytical Solutions Private Limited,2010,"Trident Analytical Solutions Pvt. Ltd. provides information technology and analytics solutions to individuals and organizations in India and internationally. The company designs, develops, and commercializes Shabdanagari, a social networking site that provides users an interface in Hindi, and Sociota, a social media management and monitoring tool with social listening, reporting, and engagement modules. It also provides Web and application development, data analytics and reporting, counterfeit protection and product tracking, and automation services.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,Gives analytical soultions to business as well as individual,,,kanpur,uttar Pradesh,Angel investment,Software services for consumers,,,,,,2,Amitesh Misra,Amaresh Chandra Misra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Deal curry,Tripoto Travel Private Limited,2013,Tripoto is a social publishing platform for sharing and discovering user generated travel itineraries and stories.,Technology,Software & Computer Services,Social_Platforms,,B2C,Platfform for sharing expriences,,,Delhi,,Angel investment,Connect People for Sharing Media and Files,,,,,,2,Michael Pargal Lyndoh,Anirudh Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Deal curry,Truelytics Ecomm Private Limited,2012,"Truelytics eComm Pvt. Ltd. operates an online marketplace that connects buyers and creators of one-of-a-kind products in India. Its platform helps buyers to submit a request to customize creators’ stock product and purchase, and creators to offer goods in various categories, such as 3D printing products, custom clothing, home décors, pet care products, royal by style products, watches, furniture, jewelry, clothing, bags, footwear, tea, electronics, stationery, gifts and collectibles, handicrafts, perfumes, and automobiles and accessories.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2B,Connects buyers and creators,,,pune,Maharashtra,Angel investment,Clothing & Accessories,,,,,,1,Rai Iyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Deal curry,Turtle Yogi Technologies Private Limited,2012,"Turtle Yogi Technologies Pvt Ltd. provides 1Click Video, a browser driven video infrastructure for business enterprises hosted in the cloud. Its infrastructure enables enterprises across various domains to do business face to face, as well as helps business enterprises engage and build relationships that are mutually profitable between the stakeholders within and outside the organization.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,video infrastructure,Connects business and stakeholders,,Bengaluru,Karnataka,Angel investment,Cloud Infrastructure,,,,,,1,Hrishikesh Kulkarni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Deal curry,Twyst Technologies Private Limited,2013,Twyst assists merchants to set up and run targeted reward programs to drive new and repeat customers by incorporating loyalty programmes into the marketing mix. Its customer engagement platform provides users with personalised recommendations of dining outlets in the vicinity. Users are rewarded with vouchers and deals if they frequent certain places.,Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Connects retailers and customers ,Helps in marketing of products,,Gurgaon,Haryana,Angel investment,Customer service for business,,,,,,2,Rahul Chakraborti,Arun Rajappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Deal curry,Unbox Technologies Private Limited,2013,"Unbox Technologies Private Limited develops a mobile application that provides access to car services and repair. It connects users with an authorized dealer network of various car brands, assists in getting accurate quotes for dent, paint, or repair works, and enables to directly book appointment in various workshops for various car repairs or servicing needs.",Consumer_services,Retail,Internet_marketplace_and_eCommerce,,B2C,Booking -car repairs and services,,,Bengaluru,Karnataka,Angel investment,Booking,,,,,,1,Vishal Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
