ICB_industry,ICB_sector,accelaratorResult,accelerator,accleratorDate,businessModel,city,companyWebsite,dealInvestmentAmount,description,equityValuation,foundedDate,founderName,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupName,startupStatus,state
Technology,Software & Computer Services,,,,,Bengaluru,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Technology', nan]",AIDAIO SOFTWARE,Angel investment,
Consumer_goods,personal and household goods,,,,B2C,,,,An air purifier specially designed for Indian air pollution.,,,,"['Pollution control', nan, nan]",,,,,[nan],,"['Reduces air pollution', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",IITM,,"['Clean Technology', nan]",AIR OK TECHNOLOGIES  ,Business Plan,
Consumer_services,Retail,,,,B2C,Bengaluru,,,"Aisle is an Indian matchmaking brand, which offers a differentiated experience to its niche audience – handpicked urban, independent Indians of today.",,1970-01-01 00:00:00.000002014,,"['Connect People for Dating and Matrimonial', nan, nan]",,,,,"['CIO ANGEL NETWORK,OTHERS', 'ANAND CHANDRASEKARAN,OTHERS', 'KUNAL BAHL,ROHIT BANSAL,OTHERS']",,"['Matchmaking', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042767'), NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","['Angel forums', nan, nan]","[nan, nan, nan]",VI,,"['Social Platforms', nan]",AISLE,Angel investment,Karnataka
Technology,Software & Computer Services,,,,,Bengaluru,,,"Aisle is an Indian matchmaking brand, which offers a differentiated experience to its niche audience – handpicked urban, independent Indians of today. It is the only matchmaking brand that highly focuses on and takes into consideration the distinct needs of its Indian consumers and their cultural environment.",,1970-01-01 00:00:00.000002014,,"['Connect People for Dating and Matrimonial', nan, nan]",,,,,[nan],,"['Matrimonial website', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Social_Platforms', nan]",AISLE NETWORK . ,Angel investment,Karnataka
Consumer_goods,Personal and household goods,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",AIZYC TECHNOLOGY (HOME SECURITY & AUTOMATION),Angel investment,
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Hyperlocal and Logistics', nan]",ALADA FOOD  ,Angel investment,
Consumer_services,Retail,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ALGORITHM INFORMATICS  ,Angel investment,
Consumer_goods,personal and household goods,,,,B2C,Bengaluru,,, All things organic is an online marketplace focussed exclusively on Organic & Natural products. ,,,,"['Agricultural Products', nan, nan]",,,,,"['S K TUTEJA,GUNJAN SONI']",,"['Organic products', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042552'), NaT, NaT]","['1', nan, nan]","[3.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Internet marketplace and eCommerce', nan]",ALL THINGS ORGANIC,Angel investment,Karnataka
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Internet marketplace and eCommerce', nan]",ALLIEDHUNT.COM,Angel investment,
Technology,Software & Computer Services,,,,B2C,Ahmedabad,,,"AlmaMapper is India’s largest student & alumni platform with more than 500,000 registered users. Used as a Business Enabler Tool by more than 150 Colleges for their Admission, Placements & Alumni Management needs.",,1970-01-01 00:00:00.000002015,,"['Connect to Professionals', nan, nan]",,,,,[nan],,"['Connects alumini', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042278'), NaT, NaT]","['2.6', nan, nan]","[nan, nan, nan]","['Venture forums', nan, nan]","[nan, nan, nan]",VI,,"['Social Platforms', nan]",ALMA MAPPER,Angel investment,Gujarat
Technology,Software & Computer Services,,,,B2C,Mumbai,,,AlmaConnect is a social network based on private alumni networks focused on helping an alum / student get trusted help from his/her alumni network.,,1970-01-01 00:00:00.000002011,,"['Connect to Professionals', nan, nan]",,,,,"['MOHANDAS PAI,OTHERS']",,"['Connects alumini', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042401'), NaT, NaT]","[nan, nan, nan]","[2.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Social Platforms', nan]",ALMACONNECT,Angel investment,Maharashtra
