startupName,founderName,website,city
DROPKAFFE,"['RAKSHIT KEJRIWAL', 'AMAR YASHLAHA', 'CHAITANYA CHITTA', 'LAKSHMI DASAKA']",http://dropkaffe.com/,Bangalore
DRUMS FOOD INTERNATIONAL,"['UDAY THAKKER', 'MILAP SHAH']",http://drumsfood.com/,Mumbai
DUNZO,"['MUKUND JHA', 'KABEER BISWAS', 'ANKUR AGGARWAL', 'DALVIR SURI']",http://dunzo.in/,Bangalore
E-SWASTHYA,"['U.T RAO', 'YASH SHAH']",http://eswasthya.in,Ahmedabad
EASY ROADS TECHNOLOGIES,['SACHIN PARIKH'],http://easyroads.co,Mumbai
EASY ROADS,['SACHIN PARIKH'],http://easyroads.co,Mumbai
EASYREWARDZ,[],,Mumbai
EATLO,"['RAHUL HARKISANKA', 'SAI PRIYA MAHAJAN']",http://eatloapp.com/,Bangalore
EATONGO,[],http://www.eatongo.in/,Bangalore
ECOCENTRIC,[],http://www.ecocentric.fr,
EDABBA,"['SATYENDRA SHUKLA', 'SAURABH B CHADHA']",http://edabba.com,Mumbai
EDGEFX TECHNOLOGIES,[],http://www.edgefxkits.com,Hyderabad
EDUORA,['NAGARJUN PALAVALLI'],,Bengaluru
EKSTOP,[],http://www.ekstop.com,Mumbai
ENDLESS ROBOTICS,['SRIKAR REDDY'],http://endlessrobotics.com/,Hyderabad
ENNATURA TECHNOLOGY VENTURES,"['SIDHARTHA KUMAR BHIMANIA', 'KRISHNA GOPAL SINGH']",http://ennatura.com/,New Delhi
ENROUTO,['BHARGAVI DESAI'],http://enrouto.com/,Mumbai
ENTROPIK,"['RANJAN KUMAR', 'BHARAT SINGH']",http://entropika.space/,Bengaluru
ENTROPIKA,"['RANJAN KUMAR', 'BHARAT SINGH']",http://entropika.space/,Bengaluru
ENVOGED,"['MANISHA BARNWAL', 'ANANDITA SINGH', 'SAAHIL NARANG']",http://www.envoged.com/,Mumbai
EPAATHSALA,[],http://epaathsala.com/,Bangalore
EPOISE,"['SACHIN AGRAWAL', 'BISHAN SINGH']",http://www.epoise.com/,Bangalore
EPUJA,['SHIVA KUMAR'],http://epuja.co.in/,Bangalore
EQUICKES,[],http://equickes.com/,Ahmedabad
EREASONING,['TIM ESTES'],http://digitalreasoning.com,Franklin
ERELEGO-DIGI-MEDIA--LTD,[],,Bangalore
ETOWN INDIA SERVICES,[],http://etownkovilpatti.com,Kovilpatti
EUREQA,"['BHARGAVA CHITTAMURI', 'BADRI NITTOOR']",http://www.sayeureqa.com,Cherry Hill
EVENTUS SOFTWARE,[],http://eventjini.com/,Chennai
EVIBE,"['SWATHI BAVANAKA', 'ANJANEYULU REDDY']",http://evibe.in,Bangalore City
EXOTEL,['SHIVAKUMAR GANESAN'],http://exotel.in,Bangalore
EXTRAAEDGE,"['ABHISHEK BALLABH', 'SUSHIL MUNDADA']",http://www.extraaedge.com,Noida
EZETAP,"['SHRIPATI ACHARYA', 'SANJAY SWAMY', 'ABHIJIT BOSE', 'BALA PARTHASARATHY', 'BHAKTHA KESHAVACHAR']",http://www.ezetap.com,Bangalore
EZYTRUK,['SRIKANTH M'],http://www.ezytruk.com/,Bengaluru
FAAYA,[],http://faaya.in,
FABALLEY,"['SHIVANI PODDAR', 'TANVI MALIK']",http://faballey.com,Noida
FACTORDAILY,"['JAYADEVAN PK', 'TITASH NEOGI', 'PANKAJ MISHRA']",http://factordaily.com/,Bangalore
FAREYE,"['GAUTAM KUMAR', 'GAURAV SRIVASTAVA', 'KUSHAL NAHATA']",http://www.getfareye.com/,New Delhi
FASHIONABLYIN,"['SID LAKHANI', 'TARUN THADANI']",http://www.fashionablyin.com/,London
FASTACASH,"['MICHAEL WEE', 'SHANKAR NARAYANAN']",http://fastacash.com,Singapore
FASTUDENT,[],http://www.fastudent.com/,Noida
FEETAPART,"['ABHISHEK ROY', 'ASHRITH GOPALAKRISHNA']",http://feetapart.com/,Bangalore
FINDMYSTAY,['ROHIT KHETRAPAL'],http://www.findmystay.com,New Delhi
